Feature,SHAP_TP,SHAP_FN,SHAP_FP,SHAP_TN,Delta_TP_FN,AbsDelta,N_TP,N_FN,N_FP,N_TN
Tipo de anestesia propuesta_raquidea,0.25708575990813454,-0.03187346803663181,-0.03292197105471374,-0.030410480913519215,0.28895922794476636,0.28895922794476636,10,10,10,10
Tipo de anestesia propuesta_general,0.11337664790995369,-0.007059164781726785,-0.008798881798178036,0.0006690959857645457,0.12043581269168048,0.12043581269168048,10,10,10,10
Dx Preoperatorio Code_O,0.11521816592696058,-0.003091697517335861,-0.0028275691230617126,-0.00335875318139064,0.11830986344429643,0.11830986344429643,10,10,10,10
Sexo_encoded,0.033445881226737965,-0.005408911082474442,-0.00020350588249269403,-0.0016320035097084737,0.038854792309212405,0.038854792309212405,10,10,10,10
Procedimiento propuesto Code_L,0.02731226156882082,-0.0017053088187825444,-0.0018599810837330803,-0.002536692918265682,0.029017570387603366,0.029017570387603366,10,10,10,10
score_proc_critical,0.026759391407088846,-0.0008219075861211114,-0.000790660623321106,-0.00089337246374684,0.027581298993209956,0.027581298993209956,10,10,10,10
score_proc_high_severity,0.01793737680432064,0.00020185135328791839,-0.0001017034234959043,-0.0009752957716172587,0.01773552545103272,0.01773552545103272,10,10,10,10
Procedimiento propuesto Code_NO ENCONTRADO,0.016859738365882237,0.0005449905729542316,-0.0016590626566947598,-0.0026381047113656617,0.016314747792928005,0.016314747792928005,10,10,10,10
Procedimiento propuesto Code_S,0.010927262393021303,-0.0029770164252091056,-0.00043231473414195675,-0.002277647016603547,0.01390427881823041,0.01390427881823041,10,10,10,10
Tipo de anestesia propuesta_peridural,-0.006539806144411279,-0.017863134349891546,-0.01704743566023646,-0.011631933653162906,0.011323328205480265,0.011323328205480265,10,10,10,10
Tipo de anestesia propuesta_sedacion,0.03293015800199838,0.02221992758820095,0.02104276279518611,-0.07135001288082345,0.010710230413797431,0.010710230413797431,10,10,10,10
Dx Preoperatorio Code_K,0.008706128486370288,-0.0017726357409083783,-0.0023077563986940025,-0.0012199832811408866,0.010478764227278666,0.010478764227278666,10,10,10,10
predicted_label_proc_encoded,0.00887318878102501,-0.0010173269794113964,-0.00025586609479353597,-0.0006159433118321057,0.009890515760436406,0.009890515760436406,10,10,10,10
Dx Preoperatorio Code_H,0.007497429659665267,-0.001435888197193503,0.002109757364760021,-0.01956071544013353,0.00893331785685877,0.00893331785685877,10,10,10,10
Dx Preoperatorio Code_S,0.012490476029985082,0.0038274391297103334,0.003479854531389854,-0.0036704001651024663,0.00866303690027475,0.00866303690027475,10,10,10,10
Tipo de anestesia propuesta_local,0.01361954279991159,0.005002348139862635,0.005553190535685785,-0.0362424516044062,0.008617194660048955,0.008617194660048955,10,10,10,10
IMC,0.007476368651425573,-0.0010045148427489277,0.0010166161361382466,0.0005601620716765103,0.008480883494174501,0.008480883494174501,10,10,10,10
Edad,0.010126139257803514,0.002103172621534858,0.0007445908511470595,0.0027459535427985285,0.008022966636268655,0.008022966636268655,10,10,10,10
score_proc_low_severity,0.007612116814951779,0.0008801728888636568,0.0005086005924040816,-8.305726268812249e-05,0.006731943926088123,0.006731943926088123,10,10,10,10
Grupo Sanguíneo_Sin Dato,0.002135964151376865,-0.003701813067273744,-0.0002516826044966742,-0.0012939536525188933,0.005837777218650609,0.005837777218650609,10,10,10,10
