Version,Post_Variable,Feature,Mutual_Information,Abs_Pearson,Combined_Score,Prevalencia_Post
target_d_v2,target,Tipo de anestesia propuesta_peridural,0.01491000269353493,0.15389220606166007,0.05660466370397247,0.1693
target_d_v2,target,Tipo de anestesia propuesta_sedacion,0.006179068197931459,0.11037020570886405,0.03743640945121123,0.1693
target_d_v2,target,Tipo de anestesia propuesta_raquidea,0.006526374632918497,0.08870872619962104,0.031181080102929262,0.1693
target_d_v2,target,score_proc_critical,0.028023414290614834,0.03184325150389312,0.029169365454598317,0.1693
target_d_v2,target,score_proc_medium_severity,0.03033160347817576,0.021527624166864018,0.027690409684782237,0.1693
target_d_v2,target,Dx Preoperatorio Code_O,0.003278825837203403,0.08007382436241918,0.026317325394768137,0.1693
target_d_v2,target,score_dx_low_severity,0.02660639947394361,0.02194183374509996,0.025207029755290513,0.1693
target_d_v2,target,score_proc_high_severity,0.028868612818944595,0.014753548627854454,0.02463409356161755,0.1693
target_d_v2,target,score_dx_high_severity,0.027520163518339524,0.014807869959391701,0.023706475450655178,0.1693
target_d_v2,target,Tipo de anestesia propuesta_local,0.003232534733307091,0.07007911652649738,0.023286509271264178,0.1693
target_d_v2,target,score_proc_moderate_severity,0.030739809537808194,0.0011283034727141718,0.021856357718279987,0.1693
target_d_v2,target,Dx Preoperatorio Code_Z,0.0,0.07225981033976295,0.021677943101928884,0.1693
target_d_v2,target,score_dx_moderate_severity,0.025356966911985523,0.01197841409450304,0.021343401066740778,0.1693
target_d_v2,target,score_dx_critical,0.026273822081201326,0.009771034730283436,0.021322985875925956,0.1693
target_d_v2,target,score_dx_medium_severity,0.026894143991746056,0.007166754859259275,0.02097592725200002,0.1693
target_d_v2,target,score_proc_low_severity,0.02927982171020016,0.0009535196981455353,0.02078193110658377,0.1693
target_d_v2,target,Estado Nutricional_encoded,0.006932682455925043,0.03792889280752665,0.016231545561405526,0.1693
target_d_v2,target,Grupo Sanguíneo_O,0.00591022092831639,0.0373714404956811,0.015348586798525802,0.1693
target_d_v2,target,Grupo Sanguíneo_Sin Dato,0.002008021137204663,0.04449839662414133,0.014755133783285662,0.1693
target_d_v2,target,Puntaje Mallampati,0.0009102949980810404,0.04704604615698542,0.014751020345752354,0.1693
target_d_v2,target,Abdomen_normal,0.0038818880286453084,0.03941038755750233,0.014540437887302412,0.1693
target_d_v2,target,RH_Positivo,0.0023116114263146414,0.04281425528759551,0.014462404584698902,0.1693
target_d_v2,target,Dx Preoperatorio Code_S,0.002167092586926156,0.04241878245662889,0.014242599547836975,0.1693
target_d_v2,target,RH_Sin Dato,0.0007302816713556926,0.04567825575468224,0.014214673896353657,0.1693
target_d_v2,target,Antecedente hematológicos _negativo,0.0019199522884429943,0.04092785489105479,0.013622323069226533,0.1693
target_d_v2,target,Dx Preoperatorio Code_H,0.0015142804931207454,0.04148075949578761,0.013504224193920805,0.1693
target_d_v2,target,Antecedentes cardiovasculares_negativo,0.004164821067172753,0.03191675535705562,0.012490401354137612,0.1693
target_d_v2,target,Antecedentes cardiovasculares_hta,0.004235674570256975,0.028550646366560326,0.01153016610914798,0.1693
target_d_v2,target,IMC,0.0011231711741903627,0.03561404058882686,0.011470431998581311,0.1693
target_d_v2,target,Examen_Hemoglobina(g/dl),0.0009044006188829723,0.03544432273631439,0.011266377254112397,0.1693
target_d_v2,target,Procedimiento propuesto Code_L,0.0,0.03605896169315351,0.010817688507946052,0.1693
target_d_v2,target,Dx Preoperatorio Code_G,0.0039961675464086355,0.026481257966966036,0.010741694672575856,0.1693
target_d_v2,target,Antecedente endocrinológicos_negativo,0.006443611587357623,0.02068058958156683,0.010714704985620382,0.1693
target_d_v2,target,Examen_PT (INR),0.001312406971284652,0.03195879806476626,0.010506324299329134,0.1693
target_d_v2,target,Antecedente hematológicos _anticoagulantes,0.0040893449889265465,0.025321423576411928,0.01045896856517216,0.1693
target_d_v2,target,Tensión Arterial Media (mm/Hg),0.00341228680415373,0.025786383666148303,0.010124515862752101,0.1693
target_d_v2,target,Antecedente renales_negativo,0.003114318103670133,0.025979986652544137,0.009974018668332333,0.1693
target_d_v2,target,Condición_embarazo actual,0.0,0.032692825614649056,0.009807847684394716,0.1693
target_d_v2,target,Sistema Nervioso_Sin dato,0.00488241963188818,0.02107962112007317,0.009741580078343677,0.1693
target_d_v2,target,Abdomen_otro,0.0,0.03146439183771119,0.009439317551313357,0.1693
target_d_v2,target,Dx Preoperatorio Code_C,0.0,0.031212127525347924,0.009363638257604378,0.1693
target_d_v2,target,Procedimiento propuesto Code_S,0.0,0.031161832771539465,0.00934854983146184,0.1693
target_d_v2,target,Tipo de anestesia propuesta_sin dato,0.0,0.03077058868154081,0.009231176604462243,0.1693
target_d_v2,target,Sistema Nervioso_normal,0.0031381777089822815,0.02199431572555719,0.008795019113954753,0.1693
target_d_v2,target,Antecedente endocrinológicos_diabetes,0.0,0.027957830151763435,0.00838734904552903,0.1693
target_d_v2,target,Antecedentes cardiovasculares_valvulopatia,0.003595282756343021,0.019477438094792528,0.008359929357877873,0.1693
target_d_v2,target,Examen_Plaquetas (ml),0.0,0.0275066871327755,0.00825200613983265,0.1693
target_d_v2,target,Procedimiento propuesto Code_NO ENCONTRADO,0.005249975161404352,0.014811956181071506,0.008118569467304498,0.1693
target_d_v2,target,Antecedente hematológicos _aspirina,0.000994886546783924,0.024703469447785245,0.00810746141708432,0.1693
target_d_v2,target,Antecedentes quirúrgicos Code_B,0.0,0.02701396019505675,0.008104188058517025,0.1693
target_d_v2,target,Sistema cardiovascular_soplo,0.0012005246078197196,0.0238087002867,0.007982977311483803,0.1693
target_d_v2,target,Grupo Sanguíneo_A,0.0024098211648169165,0.020741117062773963,0.00790920993420403,0.1693
target_d_v2,target,Sistema Respiratorio_normal,0.005851334610428083,0.012696433143664513,0.007904864170399012,0.1693
target_d_v2,target,Antecedente renales_falla renal,0.0008732715433212856,0.02421894215200424,0.007876972725926171,0.1693
target_d_v2,target,Dx Preoperatorio Code_A,0.0016762652780131226,0.02157970649619809,0.0076472976434686125,0.1693
target_d_v2,target,Sistema cardiovascular_normal,0.0013110553049409113,0.022421770140166473,0.00764426975550858,0.1693
target_d_v2,target,Antecedente endocrinológicos_obesidad,0.0,0.02539720921495973,0.007619162764487919,0.1693
target_d_v2,target,Antecedente neurológicos_neoplasia,0.0016319235855735137,0.02157905466121907,0.00761606290826718,0.1693
target_d_v2,target,Sistema Nervioso_par craneal anormal,0.001215709354907446,0.022475607368950067,0.0075936787591202315,0.1693
target_d_v2,target,Anestesia previa_sedacion,0.00029256940438404655,0.02428748729272412,0.007491044770886068,0.1693
target_d_v2,target,score_proc_ant_high_severity,0.004782293506356616,0.013791136726730541,0.0074849464724687925,0.1693
target_d_v2,target,Dx Preoperatorio Code_Q,0.0,0.02472055168648037,0.00741616550594411,0.1693
target_d_v2,target,Antecedente renales_litiasis,0.0031741607394049076,0.016476594159123805,0.007164890765320576,0.1693
target_d_v2,target,Abdomen_distension,0.0,0.023750868183206392,0.0071252604549619175,0.1693
target_d_v2,target,Prótesis Dental_movil,0.0022867763081890757,0.018392425810241593,0.007118471158804831,0.1693
target_d_v2,target,Tensión Arterial Sistólica (mm/Hg),0.0,0.02343386345120836,0.007030159035362508,0.1693
target_d_v2,target,Dx Preoperatorio Code_NO ENCONTRADO,0.0007525023189216551,0.020963741231361833,0.0068158739926537084,0.1693
target_d_v2,target,Antecedente hematológicos _transfusiones,0.0007198482368047099,0.020497863816475018,0.006653252910705802,0.1693
target_d_v2,target,Sistema Respiratorio_disnea,0.0016826974915284953,0.01823606948778089,0.006648709090404214,0.1693
target_d_v2,target,predicted_label_proc_encoded,0.0022635050415917846,0.016666325653299875,0.006584351225104212,0.1693
target_d_v2,target,score_proc_ant_critical,0.003431667248638748,0.013642387971472042,0.006494883465488736,0.1693
target_d_v2,target,Abdomen_masas,0.000984830135255299,0.019139088439940652,0.006431107626660905,0.1693
target_d_v2,target,Tensión Arterial Diastólica (mm/Hg),0.0,0.020708373871182982,0.006212512161354895,0.1693
target_d_v2,target,Alérgeno_ambiental_animales,0.004539856923238217,0.009872910105387888,0.006139772877883119,0.1693
target_d_v2,target,Disnea_encoded,0.0009192377475915059,0.01823606948778089,0.0061142872696483205,0.1693
target_d_v2,target,Condición_farmacodependencia,0.001999877988009491,0.014933294488353252,0.005879902938112619,0.1693
target_d_v2,target,Color de Piel_normal,0.003086817413273879,0.012284495313324092,0.005846120783288942,0.1693
target_d_v2,target,Tipo de anestesia propuesta_general,0.0034657466467817866,0.011222441751922066,0.00579275517832387,0.1693
target_d_v2,target,Apertura Oral_encoded,0.0,0.018871601452087397,0.005661480435626219,0.1693
target_d_v2,target,Procedimiento propuesto Code_Q,0.0017452300154479072,0.014769293377566094,0.005652449024083362,0.1693
target_d_v2,target,Color de Piel_ictericia,0.0,0.0185519226116036,0.0055655767834810795,0.1693
target_d_v2,target,Procedimiento propuesto Code_V,0.0,0.018382394662825423,0.005514718398847627,0.1693
target_d_v2,target,Peso (Kg),0.0013336386949385215,0.014827942971626795,0.005381929977945003,0.1693
target_d_v2,target,Antecedente hematológicos _plavix,0.0006597713295923846,0.01572963051904176,0.005180729086427196,0.1693
target_d_v2,target,Dx Preoperatorio Code_P,0.0020991234664831104,0.011790963890351067,0.005006675593643498,0.1693
target_d_v2,target,Antecedente gastrointestinales_gastritis,0.0021656999327328563,0.011092392073323595,0.004843707574910078,0.1693
target_d_v2,target,Procedimiento propuesto Code_E,0.00016913886836045222,0.015421016074243198,0.0047447020301252755,0.1693
target_d_v2,target,Procedimiento propuesto Code_nan,0.0001845621228102612,0.015313293812004096,0.004723181629568411,0.1693
target_d_v2,target,Antecedentes cardiovasculares_infarto,0.002041474977807045,0.010747191106951848,0.0046531898165504855,0.1693
target_d_v2,target,Antecedentes anestésicos,0.002624210614704303,0.009365835524462273,0.004646698087631694,0.1693
target_d_v2,target,Anestesia previa_general,0.002221826200339061,0.010146633068708942,0.004599268260850025,0.1693
target_d_v2,target,Dx Preoperatorio Code_Y,0.0006224400025418575,0.013853935795150164,0.004591888740324349,0.1693
target_d_v2,target,Examen_Na (meq/L),0.0015694180597196628,0.011561918750848717,0.004567168267058379,0.1693
target_d_v2,target,Talla (cm),0.0031608200688670873,0.007756313160672499,0.004539467996408711,0.1693
target_d_v2,target,Sistema Nervioso_sedado,0.0,0.015020357351270285,0.004506107205381085,0.1693
target_d_v2,target,Antecedente hematológicos _anemia,0.0,0.014978280971967005,0.004493484291590102,0.1693
target_d_v2,target,Antecedente neurológicos_negativo,0.004518088460208736,0.0043330115608871105,0.004462565390412248,0.1693
