Version,Post_Variable,Feature,Mutual_Information,Abs_Pearson,Combined_Score,Prevalencia_Post
target_f_predictibilidad_maxima,target,Tipo de anestesia propuesta_raquidea,0.038324631355723726,0.30335308893684854,0.11783316863006117,0.1943
target_f_predictibilidad_maxima,target,score_proc_critical,0.12083892181125155,0.07359942380434445,0.10666707240917941,0.1943
target_f_predictibilidad_maxima,target,score_proc_high_severity,0.1284698074804369,0.04799123315187092,0.10432623518186711,0.1943
target_f_predictibilidad_maxima,target,score_proc_medium_severity,0.12472664304349523,0.04401596769165804,0.10051344043794407,0.1943
target_f_predictibilidad_maxima,target,score_proc_moderate_severity,0.12972278090558387,0.007893105759651672,0.0931738783618042,0.1943
target_f_predictibilidad_maxima,target,Tipo de anestesia propuesta_peridural,0.023138078272021634,0.2517447192217987,0.09172007055695475,0.1943
target_f_predictibilidad_maxima,target,score_proc_low_severity,0.12478815069662219,0.002863188764125018,0.08821066211687303,0.1943
target_f_predictibilidad_maxima,target,score_dx_high_severity,0.10877134924376297,0.027661405535018627,0.08443836613113967,0.1943
target_f_predictibilidad_maxima,target,score_dx_medium_severity,0.1095174008764015,0.023246593362332164,0.08363615862218068,0.1943
target_f_predictibilidad_maxima,target,score_dx_moderate_severity,0.10691915760575665,0.02121417572812,0.08120766304246566,0.1943
target_f_predictibilidad_maxima,target,score_dx_low_severity,0.1033370201234165,0.029439933225145078,0.08116789405393507,0.1943
target_f_predictibilidad_maxima,target,score_dx_critical,0.10671212641463002,0.010104008773055392,0.07772969112215762,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_O,0.015651143144657764,0.20799786364363188,0.07335515929434999,0.1943
target_f_predictibilidad_maxima,target,Tipo de anestesia propuesta_sedacion,0.020367530000975576,0.18039821771019302,0.0683767363137408,0.1943
target_f_predictibilidad_maxima,target,Tipo de anestesia propuesta_local,0.014881970784777376,0.13783582964820257,0.051768128443804934,0.1943
target_f_predictibilidad_maxima,target,Procedimiento propuesto Code_L,0.00660816849175494,0.12419341318337357,0.04188374189924053,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_Z,0.003183364049230697,0.10463536056573933,0.03361896300418329,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_S,0.007041082732239579,0.09307825752563653,0.03285223517025866,0.1943
target_f_predictibilidad_maxima,target,Antecedente renales_negativo,0.014898070425429122,0.06429476831260783,0.02971707979158273,0.1943
target_f_predictibilidad_maxima,target,Grupo Sanguíneo_Sin Dato,0.007597996432668452,0.08107772627559826,0.02964191538554739,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_A,0.00549985085008986,0.0842625378901717,0.02912865696211441,0.1943
target_f_predictibilidad_maxima,target,IMC,0.003892024881733791,0.08763268320584618,0.029014222378967506,0.1943
target_f_predictibilidad_maxima,target,Tipo de anestesia propuesta_general,0.008782576017941635,0.07579941677252441,0.02888762824431647,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_H,0.006008456526281458,0.08034809554731895,0.028310348232592705,0.1943
target_f_predictibilidad_maxima,target,RH_Sin Dato,0.005930529792345096,0.07957291700167761,0.02802324595514485,0.1943
target_f_predictibilidad_maxima,target,Examen_Hemoglobina(g/dl),0.004846595145147292,0.08012811294601499,0.0274310504854076,0.1943
target_f_predictibilidad_maxima,target,Antecedente hematológicos _negativo,0.008231598589571565,0.07054127414209686,0.026924501255329154,0.1943
target_f_predictibilidad_maxima,target,RH_Positivo,0.0018225414427026632,0.0744060730854647,0.02359760093553127,0.1943
target_f_predictibilidad_maxima,target,Grupo Sanguíneo_O,0.006248476974048067,0.06130712394412572,0.022766071065071364,0.1943
target_f_predictibilidad_maxima,target,Estado Nutricional_encoded,0.0020803388424728286,0.06951181150378026,0.022309780640865057,0.1943
target_f_predictibilidad_maxima,target,Procedimiento propuesto Code_NO ENCONTRADO,0.006848271962033747,0.05137104634625406,0.020205104277299837,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_K,0.00010791199828519282,0.06070449250266293,0.018286886149598513,0.1943
