Variable,Type,Metric,Metric_Value,P_Value,Significant,MI_Score,RF_Importance,Metric_Value_Norm,MI_Score_Norm,RF_Importance_Norm,Combined_Score
Tipo de anestesia propuesta,OneHot_Group,Cramers_V,0.20385617435349174,9.089135734714423e-264,Sí,0.005040096300726715,0.03864591237944328,1.0,0.10167154234087188,0.9602226253599042,0.6872980559002587
score_proc_high_severity,Continua,Point_Biserial,0.04229610712575065,2.62481043036366e-13,Sí,0.04910098753274594,0.032588280189558665,0.20748013769947501,0.9904916166372447,0.8097105756578585,0.6692274433315261
score_proc_critical,Continua,Point_Biserial,0.04661183932664302,7.675460983313359e-16,Sí,0.049467092888839215,0.029603123695158228,0.22865061347524807,0.997876891440008,0.7355393469385161,0.6540222839512574
score_proc_moderate_severity,Continua,Point_Biserial,0.02470294697631639,1.9590213252828906e-05,Sí,0.049572340348972954,0.025684802498898072,0.12117831139851008,0.9999999999999999,0.6381820733118845,0.5864534615701315
score_proc_medium_severity,Continua,Point_Biserial,0.01652154502673595,0.004300364097354275,Sí,0.046676898290777924,0.028978682525469632,0.0810451048595034,0.9415915803487979,0.7200240569007491,0.5808869140363502
score_proc_low_severity,Continua,Point_Biserial,0.012180103014448601,0.035300569389007844,Sí,0.04668771839148045,0.02580274813774935,0.05974851168023979,0.9418098492589674,0.6411126308796693,0.5475569972729588
Examen_Hemoglobina(g/dl),Continua,Point_Biserial,0.07918686129503263,9.395598174906941e-43,Sí,0.0,0.040246825432756574,0.3884447530037556,0.0,1.0,0.46281491766791855
Edad,Continua,Point_Biserial,0.044692194138768696,1.1009693734019919e-14,Sí,0.003447607829302868,0.036619133398108954,0.21923394903541799,0.06954700554851442,0.9098638962044676,0.3995482835961333
score_dx_low_severity,Continua,Point_Biserial,0.020441874766066497,0.0004110552601761248,Sí,0.03148254923054283,0.016971439544356058,0.10027596579252866,0.6350829718531756,0.42168393064222,0.3856809560959748
score_dx_high_severity,Continua,Point_Biserial,0.0004858467405832262,0.9330897763857307,No,0.03749399190690905,0.012679294951794935,0.002383281949266622,0.7563490374463601,0.31503838664192774,0.3579235686791848
score_dx_critical,Continua,Point_Biserial,0.009574482859013609,0.09800926663126007,No,0.02887230656560069,0.016661713287016256,0.046966852435929726,0.5824277482634299,0.41398826138111805,0.3477942873601592
score_dx_medium_severity,Continua,Point_Biserial,0.017728826637476488,0.0021845843439814855,Sí,0.028141787687665953,0.015303019810672707,0.08696732730171937,0.5676913272513872,0.3802292391046003,0.3449626312192356
score_dx_moderate_severity,Continua,Point_Biserial,0.004087650877189245,0.47995155455452554,No,0.030705400350851786,0.015261673228044677,0.020051641262045637,0.6194059052829839,0.3792019137892879,0.33955315344477244
