Variable,Phi_Coefficient,Chi2_Statistic,P_Value,Significant,Prop_1_Target0,Prop_1_Target1,N
Sexo_encoded,0.013261870814209936,5.252573100422272,0.02191434214920554,Sí,58.94269572235674,57.60801144492132,29865
Arritmia_encoded,0.005552414528158839,0.9207172563177917,0.3372867146380236,No,0.12106537530266344,0.17167381974248927,29865
Disnea_encoded,0.0024095330433188287,0.1733916949246348,0.677114925795653,No,0.024213075060532687,0.04005722460658083,29865
Angina_encoded,0.0,0.0,1.0,No,0.008071025020177564,0.005722460658082976,29865
